UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
87.0,299.0,309.0,1436.0,43.9,20.0,0.0
88.0,299.0,309.0,1544.0,31.8,25.0,0.0
89.0,299.0,309.0,1419.0,45.2,27.0,0.0
90.0,298.9,308.9,1487.0,39.5,30.0,0.0
91.0,298.9,308.9,1753.0,25.8,33.0,0.0
92.0,298.9,308.9,1830.0,24.9,35.0,0.0
93.0,298.9,308.9,1727.0,27.1,37.0,0.0
94.0,299.1,309.0,1450.0,43.0,40.0,0.0
95.0,299.0,308.9,1622.0,31.9,42.0,0.0
96.0,299.0,309.0,1351.0,52.2,44.0,0.0
97.0,299.0,309.0,1575.0,35.3,47.0,0.0
98.0,298.9,308.9,1750.0,29.9,50.0,0.0
99.0,298.9,308.8,1529.0,32.7,53.0,0.0
100.0,298.8,308.8,1523.0,44.4,55.0,0.0
101.0,298.8,308.9,1852.0,25.0,57.0,0.0
102.0,298.8,308.8,1991.0,20.7,59.0,0.0
103.0,298.8,308.8,1555.0,40.6,61.0,0.0
104.0,298.8,308.8,1441.0,40.5,63.0,0.0
105.0,298.8,308.7,1450.0,43.4,66.0,0.0
106.0,298.8,308.7,1591.0,31.1,68.0,0.0
107.0,298.8,308.7,1445.0,48.5,70.0,0.0
108.0,298.8,308.8,1497.0,46.8,72.0,0.0
109.0,298.9,308.8,1621.0,32.7,75.0,0.0
110.0,298.9,308.7,1572.0,34.1,80.0,0.0
111.0,298.8,308.6,1872.0,22.5,82.0,0.0
112.0,298.7,308.6,1499.0,43.5,84.0,0.0
113.0,298.8,308.7,1498.0,39.5,89.0,0.0
114.0,298.8,308.6,1486.0,41.9,92.0,0.0
115.0,298.8,308.6,1680.0,29.4,95.0,0.0
116.0,298.8,308.6,1431.0,45.7,97.0,0.0
117.0,298.9,308.7,1564.0,34.1,99.0,0.0
118.0,298.8,308.6,1599.0,33.0,101.0,0.0
119.0,298.8,308.6,1707.0,28.1,103.0,0.0
120.0,298.7,308.5,1467.0,40.7,106.0,0.0
121.0,298.9,308.7,1433.0,44.7,108.0,0.0
122.0,298.9,308.7,1558.0,41.2,110.0,0.0
123.0,299.0,308.8,1310.0,50.7,112.0,0.0
124.0,298.9,308.7,1546.0,43.4,114.0,0.0
125.0,298.9,308.7,1727.0,29.4,116.0,0.0
126.0,298.9,308.6,1560.0,32.2,118.0,0.0
127.0,299.0,308.6,1329.0,60.5,120.0,0.0
128.0,298.9,308.6,1413.0,46.5,122.0,0.0
129.0,299.0,308.6,1587.0,38.6,124.0,0.0
130.0,298.9,308.5,1559.0,34.3,126.0,0.0
131.0,298.8,308.4,1473.0,41.1,128.0,0.0
132.0,298.8,308.4,1737.0,27.7,130.0,0.0
133.0,298.7,308.4,1441.0,43.2,132.0,0.0
134.0,298.7,308.4,1430.0,49.6,135.0,0.0
135.0,298.8,308.4,1369.0,53.0,138.0,0.0
136.0,298.8,308.5,1711.0,28.5,140.0,0.0
137.0,298.7,308.5,1420.0,45.7,143.0,0.0
138.0,298.7,308.6,1297.0,55.3,148.0,0.0
139.0,298.8,308.6,1449.0,49.4,150.0,0.0
140.0,298.8,308.6,1268.0,55.8,155.0,0.0
141.0,298.8,308.6,1511.0,36.1,157.0,0.0
142.0,298.7,308.5,1544.0,35.2,159.0,0.0
143.0,298.6,308.4,1778.0,28.2,161.0,0.0
144.0,298.6,308.4,1407.0,50.5,164.0,0.0
145.0,298.6,308.4,1391.0,42.4,169.0,0.0
146.0,298.5,308.4,1513.0,33.6,172.0,0.0
147.0,298.5,308.4,1612.0,36.1,174.0,0.0
148.0,298.4,308.4,1515.0,40.1,179.0,0.0
149.0,298.3,308.3,1379.0,48.0,181.0,0.0
150.0,298.4,308.3,1473.0,39.9,184.0,0.0
151.0,298.4,308.3,1422.0,42.7,186.0,0.0
152.0,298.4,308.2,1463.0,37.6,188.0,0.0
153.0,298.4,308.2,1584.0,41.0,191.0,0.0
154.0,298.4,308.2,1850.0,27.0,194.0,0.0
155.0,298.4,308.2,1528.0,36.2,196.0,0.0
156.0,298.4,308.2,1987.0,19.8,198.0,0.0
157.0,298.4,308.1,1495.0,46.0,203.0,0.0
158.0,298.4,308.2,1478.0,43.5,206.0,0.0
159.0,298.4,308.2,1499.0,40.0,211.0,0.0
160.0,298.4,308.2,1471.0,47.0,214.0,0.0
161.0,298.4,308.2,1282.0,60.7,216.0,1.0
162.0,298.3,308.1,1412.0,52.3,218.0,1.0
163.0,298.3,308.1,1586.0,35.5,0.0,0.0
164.0,298.4,308.2,1468.0,43.8,2.0,0.0
165.0,298.5,308.3,1440.0,43.6,5.0,0.0
166.0,298.5,308.4,1733.0,26.0,8.0,0.0
167.0,298.4,308.2,1612.0,32.6,10.0,0.0
168.0,298.4,308.3,1458.0,42.9,15.0,0.0
169.0,298.4,308.3,1433.0,62.3,20.0,1.0
170.0,298.4,308.3,1318.0,59.1,22.0,0.0
171.0,298.4,308.2,1610.0,35.0,24.0,0.0
172.0,298.2,308.1,1462.0,50.8,27.0,0.0
173.0,298.1,308.0,1924.0,20.8,29.0,0.0
174.0,298.2,308.0,1591.0,33.7,32.0,0.0
175.0,298.2,308.1,1306.0,58.3,35.0,0.0
176.0,298.2,308.1,1382.0,43.5,37.0,0.0
177.0,298.2,308.1,1618.0,34.7,39.0,0.0
178.0,298.2,308.2,1988.0,21.4,41.0,0.0
179.0,298.2,308.2,1436.0,50.2,43.0,0.0
180.0,298.2,308.3,1304.0,49.8,45.0,0.0
181.0,298.2,308.3,1475.0,49.9,47.0,0.0
182.0,298.2,308.3,1824.0,24.2,49.0,0.0
183.0,298.1,308.2,1342.0,48.1,54.0,0.0
184.0,298.1,308.2,1485.0,40.7,57.0,0.0
185.0,298.2,308.2,1667.0,30.6,59.0,0.0
186.0,298.2,308.2,1446.0,38.2,61.0,0.0
187.0,298.1,308.3,1301.0,56.0,63.0,0.0
188.0,298.2,308.4,1379.0,43.1,65.0,0.0
189.0,298.3,308.5,1606.0,33.6,67.0,0.0
190.0,298.3,308.4,1539.0,43.4,69.0,0.0
191.0,298.2,308.4,1477.0,49.9,72.0,0.0
192.0,298.2,308.4,1666.0,34.6,74.0,0.0
193.0,298.2,308.4,1398.0,51.8,76.0,0.0
194.0,298.2,308.4,1678.0,34.6,81.0,0.0
195.0,298.2,308.5,2678.0,10.7,86.0,1.0
196.0,298.3,308.5,1453.0,42.9,89.0,0.0
197.0,298.3,308.6,1432.0,49.5,91.0,0.0
198.0,298.4,308.6,1527.0,40.9,96.0,0.0
199.0,298.4,308.7,1588.0,35.0,99.0,0.0
200.0,298.4,308.6,1433.0,47.1,101.0,0.0
201.0,298.4,308.6,1609.0,35.0,103.0,0.0
202.0,298.3,308.5,1575.0,41.2,105.0,0.0
203.0,298.4,308.5,1636.0,35.7,107.0,0.0
204.0,298.4,308.5,1490.0,37.9,110.0,0.0
205.0,298.4,308.5,1741.0,32.8,112.0,0.0
206.0,298.5,308.6,1344.0,53.0,114.0,0.0
207.0,298.5,308.7,1609.0,35.3,117.0,0.0
208.0,298.4,308.7,1421.0,60.7,119.0,1.0
209.0,298.4,308.6,1591.0,36.7,122.0,0.0
210.0,298.4,308.6,1477.0,44.0,124.0,0.0
211.0,298.4,308.7,1523.0,36.1,126.0,0.0
212.0,298.5,308.7,1575.0,33.9,128.0,0.0
213.0,298.4,308.7,1344.0,52.9,130.0,0.0
214.0,298.4,308.7,1386.0,44.9,135.0,0.0
215.0,298.3,308.6,1589.0,37.1,137.0,0.0
216.0,298.3,308.6,1548.0,40.3,140.0,0.0
217.0,298.3,308.6,1499.0,38.3,142.0,0.0
218.0,298.3,308.5,1664.0,31.6,144.0,0.0
219.0,298.3,308.6,1447.0,38.1,146.0,0.0
220.0,298.3,308.5,1434.0,46.2,148.0,0.0
221.0,298.3,308.5,1416.0,52.7,151.0,0.0
222.0,298.4,308.5,1827.0,24.3,153.0,0.0
223.0,298.4,308.6,1304.0,45.0,158.0,0.0
224.0,298.4,308.6,1569.0,34.4,160.0,0.0
225.0,298.3,308.6,1584.0,29.3,162.0,0.0
226.0,298.3,308.5,1362.0,53.8,164.0,0.0
227.0,298.3,308.4,1329.0,49.2,166.0,0.0
228.0,298.3,308.5,1539.0,36.1,168.0,0.0
229.0,298.3,308.5,1629.0,37.1,170.0,0.0
230.0,298.3,308.5,1538.0,32.2,173.0,0.0
231.0,298.3,308.6,1570.0,34.8,175.0,0.0
232.0,298.3,308.4,1408.0,43.1,177.0,0.0
233.0,298.2,308.4,1424.0,47.6,179.0,0.0
234.0,298.2,308.4,1512.0,34.9,181.0,0.0
235.0,298.2,308.4,1478.0,42.9,183.0,0.0
236.0,298.1,308.3,1680.0,33.7,185.0,0.0
237.0,298.1,308.3,1495.0,38.7,188.0,0.0
238.0,298.0,308.1,1552.0,36.6,190.0,0.0
239.0,297.9,308.1,1393.0,50.3,193.0,0.0
240.0,298.0,308.2,1611.0,30.6,195.0,0.0
241.0,298.0,308.1,1339.0,51.6,197.0,0.0
242.0,298.0,308.1,1777.0,24.3,200.0,0.0
243.0,298.0,308.2,1348.0,58.8,202.0,1.0
244.0,298.0,308.2,1442.0,44.1,204.0,0.0
245.0,298.0,308.2,1395.0,49.1,206.0,0.0
246.0,297.9,308.1,1627.0,31.4,209.0,0.0
247.0,297.9,308.1,1585.0,33.5,212.0,0.0
248.0,298.0,308.2,1469.0,45.5,214.0,0.0
249.0,298.0,308.3,1362.0,56.8,216.0,1.0
250.0,298.0,308.3,1405.0,56.2,218.0,1.0
251.0,298.0,308.3,1662.0,32.7,0.0,0.0
252.0,298.0,308.2,1466.0,42.6,2.0,0.0
253.0,298.0,308.2,1620.0,35.8,5.0,0.0
254.0,298.0,308.2,1357.0,48.2,7.0,0.0
255.0,298.0,308.2,1514.0,37.9,9.0,0.0
256.0,298.0,308.2,1489.0,40.4,11.0,0.0
257.0,298.1,308.3,1331.0,63.0,13.0,0.0
258.0,298.0,308.0,1615.0,29.5,15.0,0.0
259.0,298.1,308.2,1482.0,37.9,17.0,0.0
260.0,298.1,308.2,1420.0,63.9,19.0,1.0
261.0,298.2,308.3,1522.0,49.1,22.0,0.0
262.0,298.1,308.2,1654.0,32.1,25.0,0.0
263.0,298.1,308.2,1736.0,26.8,27.0,0.0
264.0,298.0,308.1,1587.0,32.3,30.0,0.0
265.0,298.1,308.2,1390.0,47.5,33.0,0.0
266.0,298.0,308.1,1454.0,37.1,35.0,0.0
267.0,298.0,308.1,1440.0,43.7,37.0,0.0
268.0,297.9,308.0,1954.0,21.1,42.0,0.0
269.0,297.9,308.0,1800.0,24.8,44.0,0.0
270.0,298.0,308.0,1524.0,37.0,49.0,0.0
271.0,298.0,308.0,1520.0,39.6,51.0,0.0
272.0,298.1,308.1,1452.0,40.8,56.0,0.0
273.0,298.1,308.1,1484.0,40.4,59.0,0.0
274.0,298.1,308.0,1426.0,46.0,61.0,0.0
275.0,298.1,308.0,1652.0,28.5,63.0,0.0
276.0,298.0,308.0,1401.0,54.7,65.0,0.0
277.0,298.0,307.9,1750.0,26.6,67.0,0.0
278.0,298.0,308.0,1479.0,50.7,70.0,0.0
279.0,298.0,308.0,1620.0,29.4,75.0,0.0
280.0,298.0,308.1,1819.0,23.4,78.0,0.0
281.0,298.1,308.1,1456.0,43.7,80.0,0.0
282.0,298.1,308.0,1626.0,36.5,83.0,0.0
283.0,298.1,308.1,1390.0,49.8,85.0,0.0
284.0,298.2,308.2,1469.0,43.0,88.0,0.0
285.0,298.2,308.3,2051.0,19.2,90.0,0.0
286.0,298.2,308.3,1568.0,36.0,92.0,0.0
287.0,298.2,308.3,1589.0,33.2,94.0,0.0
288.0,298.2,308.3,1805.0,31.6,96.0,0.0
289.0,298.2,308.4,1385.0,42.2,98.0,0.0
290.0,298.1,308.4,1436.0,46.7,103.0,0.0
291.0,298.1,308.4,1438.0,45.6,105.0,0.0
292.0,298.0,308.3,1473.0,42.6,107.0,0.0
293.0,298.1,308.4,1335.0,40.2,109.0,0.0
294.0,298.1,308.5,1392.0,44.8,111.0,0.0
295.0,298.1,308.5,1372.0,51.1,116.0,0.0
296.0,298.1,308.6,1716.0,30.7,119.0,0.0
297.0,298.0,308.5,1395.0,46.2,122.0,0.0
298.0,298.0,308.5,1713.0,25.3,124.0,0.0
299.0,297.9,308.5,2129.0,18.7,126.0,0.0
300.0,297.8,308.3,1567.0,35.6,131.0,0.0
301.0,297.8,308.4,1622.0,38.3,134.0,0.0
302.0,297.7,308.4,1740.0,27.1,136.0,0.0
303.0,297.8,308.4,1512.0,35.1,138.0,0.0
304.0,297.8,308.4,1479.0,43.5,143.0,0.0
305.0,297.8,308.4,1737.0,27.5,146.0,0.0
306.0,297.8,308.4,2129.0,19.2,148.0,0.0
307.0,297.8,308.4,1374.0,47.1,150.0,0.0
308.0,297.8,308.4,1579.0,36.6,152.0,0.0
309.0,297.9,308.5,1305.0,47.2,155.0,0.0
310.0,297.9,308.5,1449.0,40.8,157.0,0.0
311.0,298.0,308.6,1526.0,41.8,160.0,0.0
312.0,298.0,308.6,1453.0,44.1,165.0,0.0
313.0,297.9,308.6,1468.0,36.0,168.0,0.0
314.0,298.0,308.6,1313.0,50.8,170.0,0.0
315.0,297.9,308.5,1300.0,53.0,172.0,0.0
316.0,297.9,308.4,1646.0,40.6,175.0,0.0
317.0,297.8,308.4,1714.0,33.2,177.0,0.0
318.0,297.8,308.4,1685.0,28.4,179.0,0.0
319.0,297.8,308.4,1512.0,39.9,181.0,0.0
320.0,297.8,308.4,1612.0,32.1,183.0,0.0
321.0,297.8,308.4,1550.0,38.2,185.0,0.0
322.0,297.8,308.4,1518.0,32.5,190.0,0.0
323.0,297.8,308.5,1448.0,40.0,192.0,0.0
324.0,297.8,308.5,1561.0,46.3,194.0,0.0
325.0,297.8,308.5,1488.0,41.9,196.0,0.0
326.0,297.8,308.5,1699.0,27.8,199.0,0.0
327.0,297.7,308.5,1501.0,41.4,201.0,0.0
328.0,297.7,308.5,1373.0,56.7,203.0,1.0
329.0,297.6,308.4,1703.0,31.4,205.0,0.0
330.0,297.7,308.5,1720.0,29.9,210.0,0.0
331.0,297.6,308.4,1398.0,41.9,215.0,0.0
332.0,297.6,308.4,1391.0,51.9,218.0,0.0
333.0,297.6,308.3,1538.0,40.2,0.0,0.0
334.0,297.5,308.2,1647.0,31.3,3.0,0.0
335.0,297.5,308.1,1469.0,44.8,5.0,0.0
336.0,297.4,308.1,1749.0,25.9,8.0,0.0
337.0,297.6,308.2,1995.0,20.5,10.0,0.0
338.0,297.6,308.3,1742.0,27.7,13.0,0.0
339.0,297.5,308.2,1563.0,38.2,15.0,0.0
340.0,297.5,308.2,1713.0,32.2,17.0,0.0
341.0,297.4,308.1,1474.0,39.4,20.0,0.0
342.0,297.4,308.2,1530.0,32.6,22.0,0.0
343.0,297.4,308.2,1471.0,46.5,25.0,0.0
344.0,297.5,308.3,1388.0,48.6,27.0,0.0
345.0,297.5,308.2,2448.0,13.8,29.0,0.0
346.0,297.5,308.3,1585.0,32.9,32.0,0.0
347.0,297.5,308.3,1459.0,45.2,34.0,0.0
348.0,297.5,308.3,1544.0,40.8,37.0,0.0
349.0,297.6,308.3,1617.0,31.7,39.0,0.0
350.0,297.6,308.3,1595.0,34.3,41.0,0.0
351.0,297.6,308.3,1400.0,44.3,43.0,0.0
352.0,297.6,308.4,1611.0,31.0,48.0,0.0
353.0,297.6,308.4,1507.0,46.0,51.0,0.0
354.0,297.5,308.3,1674.0,30.0,54.0,0.0
355.0,297.6,308.3,1658.0,34.3,59.0,0.0
356.0,297.6,308.3,1623.0,36.9,61.0,0.0
357.0,297.6,308.4,1398.0,48.9,63.0,0.0
358.0,297.6,308.4,1517.0,34.2,66.0,0.0
359.0,297.6,308.3,1467.0,36.7,68.0,0.0
360.0,297.6,308.3,1567.0,34.6,71.0,0.0
361.0,297.5,308.3,1521.0,38.2,74.0,0.0
362.0,297.5,308.3,1596.0,36.8,77.0,0.0
363.0,297.6,308.3,1640.0,30.9,79.0,0.0
364.0,297.6,308.3,1438.0,47.8,84.0,0.0
365.0,297.6,308.4,1407.0,55.2,86.0,0.0
366.0,297.6,308.4,1353.0,57.5,88.0,0.0
367.0,297.6,308.5,1552.0,40.9,90.0,0.0
368.0,297.6,308.4,1569.0,38.3,93.0,0.0
369.0,297.5,308.4,1489.0,39.5,96.0,0.0
370.0,297.5,308.4,1587.0,36.1,98.0,0.0
371.0,297.5,308.3,1622.0,37.2,103.0,0.0
372.0,297.5,308.4,1604.0,38.1,106.0,0.0
373.0,297.4,308.3,1405.0,51.7,108.0,0.0
374.0,297.4,308.3,1412.0,42.0,111.0,0.0
375.0,297.4,308.3,1431.0,43.0,113.0,0.0
376.0,297.4,308.2,1533.0,37.4,115.0,0.0
377.0,297.4,308.2,1401.0,51.9,117.0,0.0
378.0,297.4,308.2,1424.0,53.9,120.0,0.0
379.0,297.3,308.2,1754.0,29.4,123.0,0.0
380.0,297.3,308.2,1754.0,26.8,125.0,0.0
381.0,297.5,308.3,2564.0,12.8,127.0,1.0
382.0,297.5,308.5,1546.0,40.4,129.0,0.0
383.0,297.5,308.5,1335.0,48.0,131.0,0.0
384.0,297.5,308.6,1842.0,27.0,133.0,0.0
385.0,297.5,308.5,1712.0,26.8,136.0,0.0
386.0,297.6,308.6,1414.0,45.4,138.0,0.0
387.0,297.6,308.7,1319.0,50.9,141.0,0.0
388.0,297.7,308.7,1249.0,60.4,143.0,0.0
389.0,297.6,308.7,1455.0,48.2,145.0,0.0
390.0,297.6,308.7,1408.0,54.8,147.0,0.0
391.0,297.6,308.7,1460.0,46.7,150.0,0.0
392.0,297.6,308.6,1491.0,38.1,152.0,0.0
393.0,297.6,308.5,1490.0,43.4,154.0,0.0
394.0,297.5,308.4,1350.0,52.2,157.0,0.0
395.0,297.5,308.4,1528.0,39.9,160.0,0.0
396.0,297.4,308.3,1571.0,37.7,162.0,0.0
397.0,297.4,308.3,1490.0,42.6,164.0,0.0
398.0,297.4,308.3,1774.0,28.9,166.0,0.0
399.0,297.4,308.3,1502.0,43.6,169.0,0.0
400.0,297.4,308.4,1392.0,49.7,174.0,0.0
401.0,297.4,308.5,2100.0,16.9,176.0,0.0
402.0,297.5,308.5,1722.0,30.4,178.0,0.0
403.0,297.4,308.6,1678.0,32.3,180.0,0.0
404.0,297.3,308.6,1273.0,59.8,182.0,0.0
405.0,297.3,308.6,1297.0,45.9,184.0,0.0
406.0,297.3,308.5,1350.0,57.6,186.0,0.0
407.0,297.4,308.6,1439.0,51.9,188.0,0.0
408.0,297.4,308.5,1600.0,42.1,190.0,0.0
409.0,297.4,308.6,1434.0,44.4,193.0,0.0
410.0,297.4,308.6,1459.0,41.3,196.0,0.0
411.0,297.5,308.6,1472.0,44.9,198.0,0.0
412.0,297.5,308.7,1429.0,44.3,201.0,0.0
413.0,297.5,308.6,1388.0,48.2,203.0,0.0
414.0,297.4,308.4,1573.0,34.5,205.0,0.0
415.0,297.4,308.4,1588.0,32.5,207.0,0.0
416.0,297.5,308.4,1511.0,42.8,209.0,0.0
417.0,297.4,308.5,1495.0,37.8,211.0,0.0
418.0,297.4,308.4,1394.0,50.1,213.0,0.0
419.0,297.4,308.4,2151.0,17.7,0.0,0.0
420.0,297.3,308.3,1501.0,38.2,2.0,0.0
421.0,297.3,308.3,1301.0,39.6,5.0,0.0
422.0,297.3,308.3,1657.0,31.1,8.0,0.0
423.0,297.3,308.3,1333.0,55.2,11.0,0.0
424.0,297.3,308.3,1484.0,43.9,13.0,0.0
425.0,297.3,308.4,1430.0,45.7,15.0,0.0
426.0,297.3,308.4,1665.0,28.9,17.0,0.0
427.0,297.4,308.5,1501.0,44.9,20.0,0.0
428.0,297.5,308.5,1496.0,42.2,22.0,0.0
429.0,297.6,308.6,1595.0,36.9,25.0,0.0
430.0,297.5,308.6,1208.0,62.3,28.0,0.0
431.0,297.5,308.6,1596.0,37.1,30.0,0.0
432.0,297.5,308.5,1446.0,41.9,32.0,0.0
433.0,297.6,308.5,1466.0,39.7,34.0,0.0
434.0,297.6,308.5,1848.0,23.7,37.0,0.0
435.0,297.5,308.5,1484.0,44.7,40.0,0.0
436.0,297.4,308.3,1493.0,41.2,43.0,0.0
437.0,297.3,308.3,1504.0,36.3,45.0,0.0
438.0,297.3,308.3,1538.0,38.5,47.0,0.0
439.0,297.4,308.4,1341.0,52.2,49.0,0.0
440.0,297.4,308.3,1535.0,34.6,51.0,0.0
441.0,297.4,308.5,1389.0,39.2,54.0,0.0
442.0,297.5,308.5,1393.0,46.6,56.0,0.0
443.0,297.4,308.5,1399.0,61.5,61.0,1.0
444.0,297.4,308.5,1469.0,45.1,63.0,0.0
445.0,297.4,308.4,1582.0,37.2,68.0,0.0
446.0,297.5,308.6,1793.0,26.7,70.0,0.0
447.0,297.5,308.6,1452.0,39.0,72.0,0.0
448.0,297.6,308.7,1376.0,59.9,74.0,0.0
449.0,297.5,308.6,1552.0,44.9,77.0,0.0
450.0,297.6,308.7,1622.0,37.9,79.0,0.0
451.0,297.6,308.7,1419.0,41.7,81.0,0.0
452.0,297.5,308.6,1440.0,46.1,84.0,0.0
453.0,297.4,308.6,1643.0,31.0,89.0,0.0
454.0,297.4,308.7,1510.0,36.2,92.0,0.0
455.0,297.4,308.7,1468.0,46.6,94.0,0.0
456.0,297.4,308.7,1429.0,57.4,96.0,0.0
457.0,297.3,308.7,1478.0,47.6,98.0,0.0
458.0,297.4,308.6,1276.0,53.6,103.0,0.0
459.0,297.3,308.6,1486.0,42.6,105.0,0.0
460.0,297.4,308.6,1476.0,42.3,107.0,0.0
461.0,297.3,308.6,1431.0,42.0,109.0,0.0
462.0,297.4,308.7,1402.0,40.2,114.0,0.0
463.0,297.4,308.7,1433.0,43.4,116.0,0.0
464.0,297.4,308.7,2874.0,4.2,118.0,1.0
465.0,297.3,308.6,1511.0,35.7,120.0,0.0
466.0,297.3,308.6,1456.0,42.9,122.0,0.0
467.0,297.2,308.5,1550.0,41.5,125.0,0.0
468.0,297.2,308.5,2182.0,16.5,127.0,0.0
469.0,297.3,308.7,1619.0,31.6,129.0,0.0
470.0,297.3,308.8,1586.0,32.7,131.0,0.0
471.0,297.3,308.8,1499.0,44.2,134.0,0.0
472.0,297.3,308.8,1419.0,42.4,139.0,0.0
473.0,297.4,309.0,1497.0,41.8,144.0,0.0
474.0,297.4,309.0,1520.0,37.0,147.0,0.0
475.0,297.4,309.1,1478.0,49.8,150.0,0.0
476.0,297.4,309.1,1380.0,41.1,152.0,0.0
477.0,297.4,309.0,1570.0,37.9,154.0,0.0
478.0,297.4,309.0,1468.0,41.4,156.0,0.0
479.0,297.4,309.0,1833.0,22.6,161.0,0.0
